"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.677333000E-3,1.882425547E-1,-3.450293541E-1,1.803607941E-1,4.324471420E-1
7.682256000E-3,3.411168754E-1,-1.436338425E-1,1.775732040E-1,4.105163166E-1
1.268719800E-2,3.409270644E-1,-1.342074871E-1,1.747875214E-1,4.059477682E-1
1.769204500E-2,3.780326247E-1,-4.923152924E-2,1.072263718E-1,3.960175547E-1
2.269696800E-2,3.770475686E-1,-4.035973549E-2,1.046409607E-1,3.933745135E-1
2.770189600E-2,3.019268513E-1,1.566624641E-2,9.964466095E-2,3.183305095E-1
3.270681900E-2,2.236493677E-1,1.300063133E-1,8.378505707E-2,2.719202401E-1
3.768105000E-2,2.237919867E-1,1.378078461E-1,8.151245117E-2,2.751692851E-1
4.268597300E-2,7.181125879E-2,1.066954136E-1,7.920265198E-2,1.510424717E-1
4.769089600E-2,7.283708453E-2,1.145856380E-1,7.690143585E-2,1.560414694E-1
5.269576100E-2,-1.921560168E-1,4.678988457E-2,2.050209045E-2,1.988304902E-1
5.770068400E-2,-1.888942420E-1,5.441379547E-2,1.824569702E-2,1.974203669E-1
6.270560700E-2,-3.750378788E-1,6.196522713E-2,1.598739624E-2,3.804585348E-1
6.767987000E-2,-3.691565394E-1,2.295553684E-1,1.171398163E-2,4.348671466E-1
7.268471600E-2,-3.646821976E-1,2.351968288E-1,-5.870819092E-3,4.339874653E-1
7.768966800E-2,-2.480926216E-1,3.101835251E-1,-5.345344543E-3,3.972308407E-1
8.269436000E-2,-2.446316779E-1,3.153967857E-1,-6.886482239E-3,3.992082338E-1
8.769951400E-2,-1.638921946E-1,4.034361839E-1,-2.340698242E-2,4.360840433E-1
9.270420200E-2,-1.607974470E-1,4.071714878E-1,-2.451229095E-2,4.384578564E-1
9.770912500E-2,-1.200110540E-1,3.351452351E-1,-2.569198608E-2,3.569104367E-1
1.026835860E-1,-1.172072515E-1,3.391034603E-1,-2.685070038E-2,3.597911293E-1
1.076885190E-1,-4.088266194E-2,3.748672009E-1,-1.191139221E-3,3.770918046E-1
1.126933660E-1,-7.415152341E-2,2.696833611E-1,-3.989219666E-3,2.797203559E-1
1.176982890E-1,-7.152350992E-2,2.731730938E-1,-5.006790161E-3,2.824256001E-1
1.227032220E-1,-1.464747638E-1,2.334399223E-1,-6.667137146E-3,2.756691939E-1
1.276774520E-1,-1.412255317E-1,2.422642708E-1,-9.208679199E-3,2.805733905E-1
1.326823080E-1,1.379224658E-2,2.458555698E-1,-1.023864746E-2,2.464548989E-1
1.376872310E-1,1.569281518E-2,2.483968735E-1,-1.097297668E-2,2.491338544E-1
1.426921540E-1,9.088189900E-2,2.460577488E-1,-5.920982361E-2,2.689047016E-1
1.476970880E-1,1.681571156E-1,1.716916561E-1,-5.993366241E-2,2.476830317E-1
1.527017800E-1,1.685604453E-1,1.742184162E-1,-6.064033508E-2,2.498838340E-1
1.577066980E-1,2.823422551E-1,1.381804943E-1,-5.620193481E-2,3.193268788E-1
1.626811600E-1,2.810901999E-1,1.400771141E-1,-5.670928955E-2,3.191382803E-1
1.676860830E-1,3.566399217E-1,2.794957161E-2,-5.749797821E-2,3.623247573E-1
1.726909380E-1,3.553091884E-1,3.084802628E-2,-5.827903748E-2,3.613760732E-1
1.776958610E-1,2.771217823E-1,-1.578490734E-1,-2.617263794E-2,3.199965925E-1
1.827005540E-1,3.137144744E-1,-2.302169800E-1,-2.716732025E-2,3.900701125E-1
1.877223330E-1,3.123624027E-1,-2.265579700E-1,-2.815437317E-2,3.868997973E-1
1.926799480E-1,1.588738114E-1,-7.079863548E-2,-2.890491486E-2,1.763202451E-1
1.976848710E-1,1.583869755E-1,-6.806564331E-2,-1.569843292E-2,1.731063448E-1
2.026898230E-1,8.105184138E-2,-2.834725380E-2,-1.613712311E-2,8.736918525E-2
2.076946690E-1,8.067007363E-2,-2.674245834E-2,-1.657199860E-2,8.658782244E-2
2.126995880E-1,8.014304936E-2,-1.002933979E-1,3.075218201E-2,1.320127673E-1
2.177045110E-1,1.559280455E-1,1.461458206E-2,3.052234650E-2,1.595579989E-1
2.226787410E-1,1.547730267E-1,1.551437378E-2,3.029441833E-2,1.584712509E-1
2.276836600E-1,3.448966444E-1,3.218436241E-1,3.052139282E-2,4.727246229E-1
2.326885830E-1,3.427614570E-1,3.220288754E-1,1.460647583E-2,4.705330616E-1
2.376934240E-1,3.408294618E-1,5.504534245E-1,1.505565643E-2,6.476035572E-1
2.426983470E-1,3.389034867E-1,5.489318371E-1,1.550483704E-2,6.453077832E-1
2.477032800E-1,2.222993523E-1,5.468397141E-1,-4.989528656E-2,5.924020717E-1
2.526775110E-1,-4.660345614E-2,5.825297832E-1,-4.927539825E-2,5.864647435E-1
2.576824340E-1,-4.630395770E-2,5.792655945E-1,-4.838371277E-2,5.831240598E-1
2.626873420E-1,-2.734168172E-1,5.772202015E-1,-4.783630371E-2,6.404906158E-1
2.676921880E-1,-2.727010846E-1,5.755879879E-1,-1.500129700E-3,6.369220233E-1
2.726970970E-1,-5.009356737E-1,6.887323856E-1,-1.003265381E-3,8.516395099E-1
2.777020200E-1,-5.011576414E-1,6.884663105E-1,-9.260177612E-4,8.515548718E-1
2.827067080E-1,-5.386170149E-1,6.486651897E-1,-3.344154358E-2,8.437968677E-1
2.877116310E-1,-5.370814800E-1,6.468176842E-1,-3.295612335E-2,8.413772868E-1
2.926860920E-1,-4.213577509E-1,4.913372993E-1,-3.257465363E-2,6.480862628E-1
2.976910200E-1,-3.437398076E-1,4.141047001E-1,-3.225612640E-2,5.391476752E-1
3.026958660E-1,-3.431895375E-1,4.128777981E-1,-3.687667847E-2,5.381514882E-1
3.077007900E-1,-2.658281922E-1,2.592513561E-1,-3.670883179E-2,3.731265627E-1
3.127057130E-1,-2.653967142E-1,2.583444118E-1,-3.646564484E-2,3.721652782E-1
3.177106210E-1,-2.274288237E-1,1.433949471E-1,-7.650184631E-2,2.795326693E-1
3.226847750E-1,-2.256519496E-1,1.421802044E-1,-7.619476318E-2,2.773799828E-1
3.276896980E-1,-3.710342944E-2,2.797245979E-2,-7.640361786E-2,8.942391070E-2
3.326946310E-1,3.654445708E-2,-1.225962639E-1,-7.702255249E-2,1.493245286E-1
3.376995540E-1,3.621208668E-2,-1.215205193E-1,1.868534088E-2,1.281705652E-1
3.427042460E-1,2.614976168E-1,-1.954975128E-1,1.794433594E-2,3.269897250E-1
3.476786880E-1,2.593326569E-1,-1.939373016E-1,1.755142212E-2,3.243041108E-1
