"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.736172652E0,6.504569741E1,2.543831061E1,2.751771993E1,4.500000000E1,1.099999994E-1,0.000000000E0,1.928243635E-3,7.000000000E0,1.200000000E1,2.800000000E1
2.745901690E0,6.504568010E1,2.543830809E1,2.551772672E1,4.300000000E1,1.499999911E-1,0.000000000E0,6.551459020E-3,8.500000000E0,1.400000000E1,2.400000000E1
3.753344689E0,6.504568383E1,2.543820994E1,3.951771549E1,5.700000000E1,7.799999714E-1,0.000000000E0,1.070613831E-2,7.500000000E0,1.300000000E1,2.600000000E1
4.742808958E0,6.504567448E1,2.543829569E1,3.751772777E1,5.500000000E1,8.299999833E-1,1.801000061E2,1.279824139E-2,4.500000000E0,9.000000000E0,2.700000000E1
5.751798496E0,6.504567473E1,2.543834028E1,3.451773208E1,5.200000000E1,8.700000048E-1,1.696000061E2,1.440508676E-2,3.500000000E0,7.000000000E0,2.800000000E1
6.742181380E0,6.504566924E1,2.543837196E1,3.251773745E1,5.000000000E1,0.000000000E0,NaN,1.440508676E-2,3.000000000E0,6.000000000E0,2.900000000E1
7.744546994E0,6.504566924E1,2.543837196E1,3.251773745E1,5.000000000E1,0.000000000E0,NaN,1.440508676E-2,2.500000000E0,5.000000000E0,2.900000000E1
8.745125570E0,6.504566924E1,2.543837196E1,3.251773745E1,5.000000000E1,0.000000000E0,NaN,1.440508676E-2,2.500000000E0,5.000000000E0,2.900000000E1
9.744507762E0,6.504566924E1,2.543837196E1,3.251773745E1,5.000000000E1,0.000000000E0,NaN,1.679803887E-2,2.000000000E0,4.000000000E0,2.900000000E1
1.074176830E1,6.504566090E1,2.543841898E1,2.851774549E1,4.600000000E1,7.599999905E-1,1.588999939E2,1.799299482E-2,2.000000000E0,4.000000000E0,2.900000000E1
1.174824126E1,6.504565717E1,2.543844287E1,2.551774937E1,4.300000000E1,1.129999995E0,1.588999939E2,1.886296023E-2,2.000000000E0,4.000000000E0,2.900000000E1
1.274358688E1,6.504565126E1,2.543845503E1,2.351775297E1,4.100000000E1,1.259999990E0,1.588999939E2,2.000738310E-2,2.000000000E0,3.000000000E0,2.900000000E1
1.374263588E1,6.504564213E1,2.543846626E1,2.251775779E1,4.000000000E1,1.429999948E0,1.768000031E2,2.109797247E-2,2.000000000E0,3.000000000E0,2.900000000E1
1.474431641E1,6.504563362E1,2.543847783E1,2.151776240E1,3.900000000E1,1.220000029E0,1.718999939E2,2.229747310E-2,2.000000000E0,3.000000000E0,2.900000000E1
1.574346484E1,6.504562473E1,2.543849233E1,2.051776744E1,3.800000000E1,1.069999933E0,1.653000031E2,2.337568438E-2,2.000000000E0,3.000000000E0,2.800000000E1
1.674970522E1,6.504561761E1,2.543850792E1,1.951777188E1,3.700000000E1,1.059999943E0,1.620000000E2,2.432656556E-2,2.000000000E0,3.000000000E0,2.900000000E1
1.774748568E1,6.504560935E1,2.543851320E1,1.851777575E1,3.600000000E1,1.279999971E0,1.688000031E2,2.564965084E-2,1.500000000E0,3.000000000E0,2.900000000E1
1.874413664E1,6.504559858E1,2.543852518E1,1.851778132E1,3.600000000E1,1.259999990E0,1.658000031E2,2.657723645E-2,1.500000000E0,3.000000000E0,2.900000000E1
1.974398095E1,6.504559066E1,2.543853139E1,1.751778515E1,3.500000000E1,1.439999938E0,1.671999969E2,2.759503246E-2,1.500000000E0,3.000000000E0,2.900000000E1
