"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.611102000E-3,6.762598455E-2,6.535649300E-3,2.051258087E-2,7.097009562E-2
9.600102000E-3,7.217112184E-2,4.032015800E-3,2.103233337E-2,7.528138565E-2
1.459025600E-2,-1.511489302E-1,-1.110073328E-1,2.136135101E-2,1.887456870E-1
1.959518400E-2,-1.449651718E-1,-1.122832298E-1,5.667304993E-2,1.919225347E-1
2.460003000E-2,-2.531870604E-1,7.586765289E-2,5.730915070E-2,2.704513395E-1
2.961952000E-2,-2.464261353E-1,7.306158543E-2,5.794906616E-2,2.634804161E-1
3.460990400E-2,-3.917438090E-1,-1.187677383E-1,6.129932404E-2,4.139161687E-1
3.958413500E-2,-2.325181067E-1,6.986665726E-2,6.185436249E-2,2.505433733E-1
4.458907300E-2,-2.263577878E-1,6.756401062E-2,6.241035461E-2,2.443313243E-1
4.960868900E-2,-2.963143587E-2,2.753961086E-2,6.289196014E-2,7.477867884E-2
5.459885200E-2,-2.534136176E-2,2.595603466E-2,3.928089142E-2,5.346857752E-2
5.960377500E-2,9.281027317E-2,-1.271446943E-1,3.938865662E-2,1.622682544E-1
6.460869800E-2,9.589514136E-2,-1.272575855E-1,3.949832916E-2,1.641660416E-1
6.959769800E-2,9.897786379E-2,-8.986854553E-2,3.968429565E-2,1.394554277E-1
7.458808200E-2,2.572331131E-1,-1.676617861E-1,9.503459930E-2,3.214201674E-1
7.959277500E-2,2.588594258E-1,-1.674033403E-1,9.504032135E-2,3.225906746E-1
8.459774200E-2,2.227086723E-1,-1.284681559E-1,9.511184692E-2,2.741340606E-1
8.961735700E-2,2.242791653E-1,-1.283885241E-1,9.709739685E-2,2.760664079E-1
9.460751100E-2,2.258794010E-1,-9.060609341E-2,9.717464447E-2,2.620570157E-1
9.961243400E-2,2.274776101E-1,-9.077823162E-2,9.725475311E-2,2.635246429E-1
1.045866650E-1,-3.799146712E-1,2.131562233E-1,9.777545929E-2,4.464647504E-1
1.096062940E-1,-3.746505082E-1,2.112714052E-1,8.926296234E-2,4.392795083E-1
1.145965250E-1,-3.316170275E-1,1.339212656E-1,8.967304230E-2,3.687085744E-1
1.196013710E-1,-1.357620358E-1,1.701765060E-1,9.008693695E-2,2.355992992E-1
1.246063080E-1,-1.319339275E-1,1.684850454E-1,9.050178528E-2,2.323453139E-1
1.296257700E-1,-9.068652987E-2,1.292383671E-1,8.588218689E-2,1.797285516E-1
1.345856930E-1,-9.010589123E-2,1.285002232E-1,8.602714539E-2,1.789749947E-1
1.395903850E-1,-2.388187051E-1,5.065214634E-2,8.630084991E-2,2.589359970E-1
1.445953080E-1,-2.345376611E-1,4.989838600E-2,8.657741547E-2,2.549380557E-1
1.496149240E-1,-3.420928717E-1,2.005521059E-1,6.218624115E-2,4.013923375E-1
1.546051550E-1,-3.752720952E-1,1.610978842E-1,6.261920929E-2,4.131620010E-1
1.596100010E-1,-3.703788817E-1,1.595937014E-1,6.305408478E-2,4.081990729E-1
1.645844580E-1,-3.277624846E-1,2.345944643E-1,6.355285645E-2,4.080462897E-1
1.696038430E-1,-3.235206008E-1,2.323052883E-1,5.615139008E-2,4.022241971E-1
1.745940400E-1,-1.296134889E-1,3.444823027E-1,5.675411224E-2,3.724093750E-1
1.795989630E-1,-1.266743541E-1,3.416185379E-1,5.735492706E-2,3.688349293E-1
1.846038810E-1,-1.258123815E-1,2.251013517E-1,5.163860321E-2,2.629941430E-1
1.896232650E-1,-8.408164978E-2,3.205561638E-2,5.192375183E-2,1.038911083E-1
1.945831890E-1,-8.150285482E-2,3.076159954E-2,5.224609375E-2,1.015807347E-1
1.995881220E-1,3.515574336E-2,-8.169054985E-3,5.247592926E-2,6.368973938E-2
2.045930450E-1,3.677877784E-2,-9.147167206E-3,6.470870972E-2,7.499044126E-2
2.096124240E-1,3.417688906E-1,-4.889655113E-2,6.479740143E-2,3.512770282E-1
2.146025780E-1,3.425375521E-1,-5.145728588E-2,6.526756287E-2,3.524764980E-1
2.196075010E-1,4.136528373E-1,-1.260478497E-1,3.377914429E-2,4.337484995E-1
2.246124090E-1,5.626299977E-1,-8.853483200E-2,3.372383118E-2,5.705508107E-1
2.296318710E-1,5.586031675E-1,-8.918714523E-2,3.368186951E-2,5.666800808E-1
2.345915630E-1,6.680338383E-1,-2.039624453E-1,3.342342377E-2,6.992760638E-1
2.395964530E-1,6.636006832E-1,-2.039579153E-1,6.235599518E-2,6.970315403E-1
2.446013760E-1,6.971000433E-1,-1.653711796E-1,6.226348877E-2,7.191473002E-1
2.496207610E-1,6.926457882E-1,-1.658217907E-1,6.217861176E-2,7.149274326E-1
2.546111460E-1,6.509639025E-1,-2.807061672E-1,9.591770172E-2,7.153671506E-1
2.595853760E-1,6.472579241E-1,-2.805197239E-1,9.575271606E-2,7.119007785E-1
2.645903000E-1,5.687943697E-1,-2.824202776E-1,9.602642059E-2,6.422688858E-1
